Seniority Level,Position,Is Job Related to Innovation,Department,Industry,Employee,Country,Tenure
Senior Management,Consultant,I lead innovation projects,Audit & Risk Management,,,,1 to 3 years
Senior Management,Gerente de Clusters,I support innovation projects,Customer Service,Life Science & Healthcare,,Colombia,More than 5 years
,,,,,,,
Senior Management,,I lead innovation projects,Audit & Risk Management,,,,1 to 3 years
Junior Management,Profesional de innovación,I support innovation projects,Quality or Process Excellence,IT & Telecommunications,,Colombia,1 to 3 years
Senior Management,Gerente,I support innovation projects,Audit & Risk Management,Life Science & Healthcare,,Colombia,3 to 5 years
Middle Management,Category Manager nuevos negocios,I lead innovation projects,Production,IT & Telecommunications,,Peru,Less than 1 year
Middle Management,,I lead innovation projects,,,,Dominican Republic,1 to 3 years
Junior Management,Junior Consultant,I support innovation projects,,,From 10 to 49,United States of America,Less than 1 year
,,,,Finance & Insurance,,Colombia,Less than 1 year
Senior Management,CEO,I lead an innovation department,Product Development,IT & Telecommunications,From 10 to 49,Guatemala,3 to 5 years
Middle Management,Marketing & Communication Specialist,I support innovation projects,Marketing & Communications,,From 50 to 249,United States of America,Less than 1 year
Junior Management,Sales man/ entrepreneur,Innovation is not part of my job,Sales,Food & Beverage,250,Colombia,1 to 3 years
,Analista,,,Finance & Insurance,,Colombia,3 to 5 years
Middle Management,director,I lead innovation projects,Strategy,Life Science & Healthcare,,Colombia,1 to 3 years
Junior Management,Analyst,I support innovation projects,Project or Program Management,Professional Services,From 10 to 49,Brazil,1 to 3 years
,Especialista de la Unidad de Finanzas Estructuradas,,,IT & Telecommunications,,Colombia,3 to 5 years
Middle Management,Agent,I lead innovation projects,Human Resources (HR),,,,
Junior Management,,I support innovation projects,,,,Colombia,1 to 3 years
Middle Management,,I support innovation projects,,,,United States of America,1 to 3 years
Middle Management,,I support innovation projects,,,,United States of America,3 to 5 years
,,,,,,United States of America,Less than 1 year
,Aux . mesa de control,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista,,,Finance & Insurance,,Colombia,More than 5 years
Junior Management,,Innovation is not part of my job,,,,Jordan,Less than 1 year
Senior Management,,I lead an innovation department,,,,Colombia,1 to 3 years
,Secretaria de Division,,,Finance & Insurance,,Colombia,More than 5 years
Senior Management,IT Testing,I lead innovation projects,Information Technology (IT),Finance & Insurance,From 10 to 49,United States of America,Less than 1 year
Senior Management,IT Testing,I lead innovation projects,Information Technology (IT),IT & Telecommunications,From 10 to 49,United States of America,1 to 3 years
,,,,Finance & Insurance,250,Canada,
,,,,IT & Telecommunications,,,
Senior Management,Diretor,I lead innovation projects,Corporate or Executive Management,Food & Beverage,From 1 to 9,Brazil,Less than 1 year
,CEO ,,,IT & Telecommunications,,,
Middle Management,Assistant Manager - Marketing,I support innovation projects,Production,IT & Telecommunications,,United Arab Emirates,3 to 5 years
Senior Management,Program Manager AV´s,I lead innovation projects,Sales,Engineering & Manufacturing,,Norway,3 to 5 years
Middle Management,,,,,,,
Junior Management,Analista de Innovación y Ecosistemas,I lead innovation projects,Sales,Finance & Insurance,,El Salvador,Less than 1 year
Middle Management,JEFE DE PRODUCION ,I support innovation projects,Finance & Administration,,,Colombia,More than 5 years
Senior Management,Presidente,I lead innovation projects,Compliance & Legal,Engineering & Manufacturing,,Peru,1 to 3 years
Middle Management,Jefe de Implementacion de Innovación,I lead innovation projects,Quality or Process Excellence,IT & Telecommunications,,El Salvador,Less than 1 year
Senior Management,Training Manager,I support innovation projects,Quality or Process Excellence,Professional Services,,Mauritius,More than 5 years
,Analista Profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,ESPECIALISTA CASH MANAGEMENT,,,Finance & Insurance,,Colombia,More than 5 years
Middle Management,Consultant ,I lead innovation projects,Project or Program Management,Life Science & Healthcare,,United States of America,More than 5 years
,Auxiliar ucc,,,,,,Less than 1 year
Senior Management,Consultant,I support innovation projects,Compliance & Legal,Life Science & Healthcare,,Brazil,3 to 5 years
Junior Management,Ingeniero Ambiental,,"Procurement, Supply Chain & Logistics",IT & Telecommunications,,Colombia,Less than 1 year
,,,,,,,
,,,Production,Professional Services,,Colombia,1 to 3 years
Middle Management,Asesor tecnico,,Finance & Administration,IT & Telecommunications,,Colombia,More than 5 years
Middle Management,Organizational Innovation,,Sales,Engineering & Manufacturing,,Colombia,1 to 3 years
Middle Management,Coordinadora,,Quality or Process Excellence,IT & Telecommunications,,El Salvador,1 to 3 years
Middle Management,Gestor Tecnico de Innovación,,Strategy,IT & Telecommunications,,Colombia,1 to 3 years
Junior Management,Practicante de SGI e Innovación. ,,Quality or Process Excellence,Energy,,Colombia,Less than 1 year
Middle Management,,,Audit & Risk Management,,,,
Middle Management,Assistant Manager ,,,Finance & Insurance,,Oman,Less than 1 year
,,,,,,Colombia,3 to 5 years
,QA Manual,,,Finance & Insurance,,Colombia,Less than 1 year
Senior Management,Developer,I lead innovation projects,,,,,More than 5 years
Middle Management,"VP, product management & investment risk",,Compliance & Legal,,,,Less than 1 year
,,,,,,,
Senior Management,,I lead an innovation department,Corporate or Executive Management,,,,More than 5 years
Middle Management,,I lead an innovation department,Strategy,,,,More than 5 years
Middle Management,Consultant,I lead an innovation department,Strategy,,,,1 to 3 years
Senior Management,CEO and Founder,I support innovation projects,Strategy,Finance & Insurance,From 1 to 9,Philippines,Less than 1 year
,Analista de Procesos ,,,Finance & Insurance,,Colombia,Less than 1 year
,Business development ,,,Finance & Insurance,,Philippines,More than 5 years
,,,,Agriculture,,Albania,Less than 1 year
Middle Management,COORDINADORA DE SERVICIOS,I support innovation projects,"Procurement, Supply Chain & Logistics",Professional Services,,Colombia,More than 5 years
Middle Management,Innovation Management,I lead an innovation department,Research & Development (R&D),Defense,250,France,More than 5 years
Middle Management,Marketing specialist,I support innovation projects,Marketing & Communications,Other,From 10 to 49,Colombia,Less than 1 year
Junior Management,Prepaid Commercial Lead,I lead innovation projects,Marketing & Communications,IT & Telecommunications,250,Albania,1 to 3 years
Junior Management,,,Audit & Risk Management,,,,
Senior Management,Director,,,,,,
,Analista de Calidad,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
Middle Management,,I support innovation projects,,,,Brazil,3 to 5 years
Middle Management,,I support innovation projects,,,,United States of America,1 to 3 years
Middle Management,IT Testing,I support innovation projects,Finance & Administration,IT & Telecommunications,From 10 to 49,United States of America,Less than 1 year
Middle Management,,I lead innovation projects,,,,Jordan,More than 5 years
,Comercial Manager ,,,Engineering & Manufacturing,,,3 to 5 years
Junior Management,Analista,I lead innovation projects,Compliance & Legal,Finance & Insurance,,El Salvador,1 to 3 years
Senior Management,Director Ejecutivo,I lead innovation projects,Compliance & Legal,Life Science & Healthcare,,El Salvador,More than 5 years
Junior Management,Gestor de Innovación,I lead an innovation department,Compliance & Legal,IT & Telecommunications,,Colombia,Less than 1 year
Senior Management,Project Manager ,,Customer Service,Professional Services,,China,3 to 5 years
Middle Management,analista de formacion,I support innovation projects,Product Management,Finance & Insurance,,El Salvador,More than 5 years
,,,,Life Science & Healthcare,,United States of America,
Senior Management,Senior Consultant,I lead innovation projects,Strategy,IT & Telecommunications,,United States of America,1 to 3 years
Junior Management,Solution designer,I support innovation projects,Facilities & Real Estate,Engineering & Manufacturing,,Norway,3 to 5 years
Middle Management,COO,I lead innovation projects,Quality or Process Excellence,Life Science & Healthcare,,Norway,Less than 1 year
Senior Management,Head of Innovation Center and Lecturer of Software Engineering,I lead an innovation department,Sales,Professional Services,,Albania,Less than 1 year
Senior Management,Managing Director Support Services,Innovation is not part of my job,Compliance & Legal,IT & Telecommunications,,South Africa,More than 5 years
Middle Management,Encargado de los apectos de SST en el proyecto de interventoría al cual pertenezco.,,Information Technology (IT),Energy,,Colombia,More than 5 years
Senior Management,Gerente,,Compliance & Legal,Engineering & Manufacturing,,Colombia,More than 5 years
Junior Management,administradora en BD,,Audit & Risk Management,Chemicals,,Colombia,1 to 3 years
Middle Management,Asesor,,Quality or Process Excellence,Agriculture,,Colombia,1 to 3 years
,analista senior de tecnología,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,,,,,,,3 to 5 years
Junior Management,,,Facilities & Real Estate,,,,
,,,,,,,
Junior Management,Support IT,I support innovation projects,Information Technology (IT),IT & Telecommunications,From 50 to 249,United States of America,1 to 3 years
,Scrum Master,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,auxiliar,,,Finance & Insurance,,Colombia,More than 5 years
,,,,,,,
,Científico de datos,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista senior de proyectos,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista profesional ,,,Finance & Insurance,,Colombia,1 to 3 years
,Lider tecnico (coordinador de proyectos),,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,,,,,,,
Junior Management,Coordinador de proyección social de los programas ambientales,I support innovation projects,Quality or Process Excellence,Professional Services,,Colombia,Less than 1 year
Senior Management,director de proyectos,I support innovation projects,Quality or Process Excellence,IT & Telecommunications,,Colombia,1 to 3 years
Senior Management,,I support innovation projects,,,,United Arab Emirates,More than 5 years
Senior Management,CTO,I lead an innovation department,Sales,Life Science & Healthcare,,Peru,1 to 3 years
Middle Management,Administrador de operaciones y Logistica,I support innovation projects,Human Resources (HR),IT & Telecommunications,,Colombia,3 to 5 years
,,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,Auditor Senior,,Information Technology (IT),Finance & Insurance,,Colombia,More than 5 years
Middle Management,Lead advisory (senior manager to Director),Innovation is not part of my job,Strategy,Professional Services,,Morocco,1 to 3 years
Junior Management,Lecturer,Innovation is not part of my job,Facilities & Real Estate,Professional Services,,Albania,1 to 3 years
,Director (E) de servicios administrativos especiales,,,IT & Telecommunications,,Colombia,More than 5 years
,Analista de Tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Senior de Tecnología,,,Finance & Insurance,,Colombia,Less than 1 year
,Head Public Markets ,,,Finance & Insurance,,Oman,More than 5 years
,Auxiliar Operaciones,,,Finance & Insurance,,Colombia,More than 5 years
,ESPECIALISTA CASH MANAGEMENT,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de servicios ,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinador,,,Life Science & Healthcare,,Colombia,More than 5 years
,,,Project or Program Management,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar de servicio UCC,,,Finance & Insurance,,,Less than 1 year
,Cdc Lead de procesos y automatización,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,,,Product Management,Finance & Insurance,,Colombia,Less than 1 year
,Especialista ,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,Director de Estructuración,,,Finance & Insurance,,Colombia,3 to 5 years
Junior Management,relationship manager,,Production,Finance & Insurance,,Oman,More than 5 years
,Auxiliar pyme,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinador de ciberseguridad,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Ingeniero de operaciones cloud,,,IT & Telecommunications,,Colombia,3 to 5 years
,aux ucc,,,Finance & Insurance,,Colombia,1 to 3 years
,,,,Life Science & Healthcare,,,Less than 1 year
,Scrum Master Célula Saes,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Agile Coach,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,Analista funcional,,,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar SAE,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior de Tecnología,,,Finance & Insurance,,Colombia,Less than 1 year
,I'm consultant in my own firm.,,,Automotive,,Brazil,Less than 1 year
,analista relaciones laborales,,,IT & Telecommunications,,Colombia,3 to 5 years
,,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,Analista Senior,,Project or Program Management,Finance & Insurance,,Colombia,1 to 3 years
,Analista PILA,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior de Tecnología,,Facilities & Real Estate,IT & Telecommunications,,Colombia,Less than 1 year
,"Gestionar procesos administrativos, contractuales, presupuestales de los servicios SAES",,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de Proyectos,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista Senior Tecnologia,,,Finance & Insurance,,Colombia,1 to 3 years
,"Analista senior en Tecnología, soporte a canales electrónicos",,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Auditor Senior,,Information Technology (IT),Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,
,,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Analista senior tecnología,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista de datos,,Audit & Risk Management,Finance & Insurance,,Colombia,1 to 3 years
,Scrum Master,,,,,Colombia,More than 5 years
,Auxiliar Sav,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista junior ,,Facilities & Real Estate,IT & Telecommunications,,Colombia,3 to 5 years
,Analista,,,Finance & Insurance,,Colombia,More than 5 years
Middle Management,Asociado de Innovación,,Strategy,IT & Telecommunications,,Colombia,3 to 5 years
,Officer Financial & Management Reporting & Planning,,Audit & Risk Management,Finance & Insurance,,Oman,3 to 5 years
,Auditor,,Information Technology (IT),Finance & Insurance,,Oman,1 to 3 years
,AML Quality Assurances senior processor,,Marketing & Communications,IT & Telecommunications,,Oman,More than 5 years
,Head of IT Security,,Facilities & Real Estate,Finance & Insurance,,Oman,More than 5 years
,Head of IT Governance & Intelligence ,,Facilities & Real Estate,Finance & Insurance,,Oman,Less than 1 year
,Fund Manager - Fintech Investments,,Audit & Risk Management,Finance & Insurance,,Oman,Less than 1 year
,Head- Merchant Acquiring Business,,,Finance & Insurance,,Oman,More than 5 years
,account relationship manager ,,Corporate or Executive Management,Finance & Insurance,,Oman,1 to 3 years
,Information Security Officer,,Information Technology (IT),Finance & Insurance,,Oman,1 to 3 years
,"Head - BackOffice, Trade, and Access Management Systems",,Facilities & Real Estate,IT & Telecommunications,,Oman,More than 5 years
,Senior Project Manager,,Quality or Process Excellence,Finance & Insurance,,Oman,More than 5 years
,Personal Banker,,"Procurement, Supply Chain & Logistics",Finance & Insurance,,Oman,1 to 3 years
,Analista procesos de crédito,,,IT & Telecommunications,,Colombia,1 to 3 years
,Analista Seguros Digitales,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista de seguros,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinadora de Proyectos,,,Finance & Insurance,,Colombia,More than 5 years
,FWEFWE,,Compliance & Legal,Professional Services,,United States of America,1 to 3 years
,Auxiliar de Operaciones Nacionales,,,Finance & Insurance,,Colombia,Less than 1 year
,Asesora de soporte comercial- Apoyo Proyecto Procesos ,,,Finance & Insurance,,Colombia,More than 5 years
,ANALISTA JUNIOR,,,IT & Telecommunications,,Colombia,More than 5 years
,AUXILIAR OPERATIVO,,,Finance & Insurance,,Colombia,More than 5 years
,Experto CX,,,Finance & Insurance,,Colombia,3 to 5 years
,GESTOR OPERACION NOCTURNA,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior Selección y Desarrollo,,Product Management,Finance & Insurance,,Colombia,3 to 5 years
,Director legal,,Marketing & Communications,Finance & Insurance,,Colombia,3 to 5 years
,Controlar y verificar,,Audit & Risk Management,Finance & Insurance,,,Less than 1 year
,Clan Lead Prestamos Empresas,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,ANALISTA CALIDAD DE DATOS ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de Negocio - Celula Oficinas,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Analista senior de compras,,,Finance & Insurance,,Colombia,3 to 5 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior de TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Gerente de Operaciones,,,IT & Telecommunications,,Colombia,More than 5 years
,Managing Director,,Compliance & Legal,Life Science & Healthcare,,Australia,More than 5 years
,Auditor,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de Talento Humano,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,Analista de Tecnología ,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista de Procesos,,,Finance & Insurance,,Colombia,Less than 1 year
,Administrador Senior ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de Tecnología responsable de brindar e implementar soluciones a los requerimientos relacionados a las plataformas ofrecidas por la organización.,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,ANALISTA DE MEJORAMIENTO DE PROCESOS DE CONTRATOS Y COMPRAS,,,Finance & Insurance,,Colombia,More than 5 years
,Líder de implementación JIRA como Analista Tecnología ,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Ejecutiva de estrategia ,,,Finance & Insurance,,Colombia,1 to 3 years
,Directora de estrategia banca corporativa,,,Finance & Insurance,,Colombia,More than 5 years
,Desarrolladora,,Facilities & Real Estate,IT & Telecommunications,,Colombia,3 to 5 years
,Analista Senior ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior PO encargado celula de adquirencia,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior gestión de exoneraciones,,,IT & Telecommunications,,Colombia,1 to 3 years
,,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar ,,,Finance & Insurance,,Colombia,Less than 1 year
,Lider de mesa de control impuesto vehicular,,,Finance & Insurance,,Colombia,Less than 1 year
,Product Owner,,Customer Service,IT & Telecommunications,,Colombia,More than 5 years
,Arquitecto de Software,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista de Negocio y CRM,,Strategy,Finance & Insurance,,Colombia,Less than 1 year
,Analista Senior - Coordinadora en encargatura,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,Opportunity Manager,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinador Desarrollo TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,auxiliar compensacion electronica,,,Finance & Insurance,,Colombia,3 to 5 years
,auxiliar de servicio UCC.,,,Finance & Insurance,,Colombia,1 to 3 years
,Administrador de Aplicativo,,Information Technology (IT),Finance & Insurance,,Colombia,Less than 1 year
,Analista Profesional,,,IT & Telecommunications,,Colombia,More than 5 years
,Auxiliar de operaciones ,,,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar de servicios UCC,,,Finance & Insurance,,Colombia,1 to 3 years
,Director de Riesgos de Tesorería,,,Finance & Insurance,,Colombia,More than 5 years
,Gestor de marca y comunicaciones estratégicas ,,,Finance & Insurance,,Colombia,1 to 3 years
,Gestor de servicio,,,Finance & Insurance,,Colombia,More than 5 years
,Supernumerario 2,,Audit & Risk Management,Finance & Insurance,,,3 to 5 years
,Auxiliar de redescuento,,,IT & Telecommunications,,Colombia,3 to 5 years
,Coordinador desarrollo TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,auxiliar de redescuentos,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Senior Transformación Corporativa,,Strategy,Finance & Insurance,,Colombia,1 to 3 years
,Srcum Master,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista Funcional,,Facilities & Real Estate,IT & Telecommunications,,Colombia,Less than 1 year
,Analista Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Recuperar cartera empresarial,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar De Servicios UCC,,,IT & Telecommunications,,Colombia,More than 5 years
,Directora de Ambiente laboral,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Profesional,,,Finance & Insurance,,Colombia,More than 5 years
,analista desarrollo,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de servicio cuadres,,,Finance & Insurance,,Colombia,More than 5 years
,ANALISTA,,,IT & Telecommunications,,Colombia,More than 5 years
,Auxiliar de servicio ucc,,,Finance & Insurance,,Colombia,More than 5 years
,Practicante universitario,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar SAE mesa de control,,,Finance & Insurance,,Colombia,Less than 1 year
,auxiliar,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,Analista de Ingeniería ,,Project or Program Management,Finance & Insurance,,Colombia,Less than 1 year
,Analista de Tecnología Senior,,,Finance & Insurance,,Colombia,1 to 3 years
,,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Estrategia,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,lider,,,Automotive,,Colombia,More than 5 years
,Auxiliar UCC,,,Finance & Insurance,,Colombia,More than 5 years
,"Soy Directora de Auditoría a cargo de la auditoría de los procesos asociados a la Tesorería, así mismo tengo rol asignado de segunda al mando en ausencia de la Gerencia de Auditoría Interna. ",,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar,,,Finance & Insurance,,Colombia,Less than 1 year
,AUXILIAR DE CANAL DIGITAL PYME ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Servicios de TI,,,IT & Telecommunications,,Colombia,More than 5 years
,Desarrollo de herramientas para la fuerza comercial como apoyo al desarrollo de sus actividades y el cumplimientos de los objetivos de la organización ,,,Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,Less than 1 year
,Directora Financiera,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior Riesgo Operacional,,Information Technology (IT),Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,ABOGADO NEGOCIADOR,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar de operaciones nacionales,,,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar de operaciones nacionales,,Audit & Risk Management,Finance & Insurance,,Colombia,1 to 3 years
,Sentido de pertenencia y respecto al cliente interno y externo,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de procesos,,Quality or Process Excellence,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar de Servicio UCC,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar Estrategia Segmento Banca Empresarial,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Product Owner Banca Empresas,,,Finance & Insurance,,Colombia,More than 5 years
,Directora de Desarrollo del Cliente,,,Finance & Insurance,,Colombia,Less than 1 year
,Gerente nacional de la UNA.,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de gestión del cambio ,,Product Management,IT & Telecommunications,,Colombia,Less than 1 year
,director comercial canal digital pyme,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Sr Tecnologia,,,Finance & Insurance,,Colombia,Less than 1 year
,Anslista QA manual,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar de Operaciones Nacionales,,,Finance & Insurance,,Colombia,Less than 1 year
,Líder de proyectos,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,1 to 3 years
,gte zona leasing,,,Finance & Insurance,,Colombia,More than 5 years
,Scrum master en la célula de Mesa Especializada - Analista Senior TI,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista senior,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de productos y canales,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista gerencia Operaciones,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de seguridad y salud en el trabajo,,,Finance & Insurance,,Colombia,3 to 5 years
,Director Prevención y Detección de Fraude,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior de Estrategia BE,,,Finance & Insurance,,Colombia,3 to 5 years
,ANALISTA MAC,,,Finance & Insurance,,Colombia,Less than 1 year
,Scrum Master,,,Finance & Insurance,,Colombia,More than 5 years
,"Respaldar el crecimiento de las Pymes y las Empresas, impactando el desarrollo del país, a través del robustecimiento de propuestas de valor con beneficios distintivos que le permitan al Banco construir relaciones de largo plazo",,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Analista,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista senior,,,IT & Telecommunications,,Colombia,More than 5 years
,Coordinador Administrativo y de Procesos de Seguridad Bancaria ,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista de riesgo de crédito,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista Profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Administradora de CRM - Occicliente,,,IT & Telecommunications,,Colombia,More than 5 years
,Auxiliar,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de Servicio UCC,,,IT & Telecommunications,,Colombia,3 to 5 years
,Gestor de servicio,,,Finance & Insurance,,Colombia,More than 5 years
,COODINADOR,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,auxiliar de servicio,,,Finance & Insurance,,Colombia,More than 5 years
,PRODUCT OWNER,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar de servicio ucc,,,Finance & Insurance,,Colombia,More than 5 years
,"Como Auxiliar en el área de Operaciones garantizo el cuadre de documentos, entrega de información y visación de cheques de manera oportuna y con calidad. ",,,IT & Telecommunications,,Colombia,More than 5 years
,Coordinador - Lider,,,Finance & Insurance,,Colombia,More than 5 years
,,,,,,,
,Coordinadora,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,auxiliar operaciones nacionales,,,Finance & Insurance,,Colombia,Less than 1 year
,Gestor ,,,Finance & Insurance,,,More than 5 years
,Ingeniero Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,AUXILIAR DE SERVICIO BACK,,Audit & Risk Management,Finance & Insurance,,Colombia,1 to 3 years
,,,,Finance & Insurance,,,1 to 3 years
,auxiliar operaciones nacionales,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar de operaciones nacionales,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista Senior - Product Owner,,Quality or Process Excellence,Finance & Insurance,,Colombia,3 to 5 years
,,,,,,,
,Analista de Procesos,,,Finance & Insurance,,Colombia,Less than 1 year
,Directora- Lider,,,Finance & Insurance,,Colombia,More than 5 years
,Analista senior de tecnología ,,,Finance & Insurance,,Colombia,1 to 3 years
,analista profesional,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,Analista de desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Senior,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,Analista De Operaciones Nacionales,,,Finance & Insurance,,Colombia,More than 5 years
,Lider tecnico,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista de desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Analista Desarrollo Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista de tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,coordinador TI,,,Finance & Insurance,,Colombia,More than 5 years
,Analista profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista Junior,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista Funcional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista funcional,,,Automotive,,Colombia,3 to 5 years
,mil rol es scrum master de una celula,,,Finance & Insurance,,Colombia,More than 5 years
,Analista profesional ,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Desarrrollador,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
